Dataset	MovieID	Title	Year	Reason
movies-32M	2960	Beefcake	1999	no_subtitles_found
movies-32M	3123	Lauderdale (a.k.a. Spring Break USA) (a.k.a. Spring Fever USA)	1989	no_subtitles_found
movies-32M	3162	Simpatico	1999	no_subtitles_found
movies-32M	3193	Creature	1999	no_subtitles_found
movies-32M	3228	Wirey Spindell	2000	no_subtitles_found
movies-32M	3236	Zachariah	1971	no_subtitles_found
movies-32M	3278	Gendernauts	1999	no_subtitles_found
movies-32M	3290	Soft Toilet Seats	1999	no_subtitles_found
movies-32M	3305	Bluebeard	1944	no_subtitles_found
movies-32M	3319	Judy Berlin	1999	no_subtitles_found
movies-32M	3356	Condo Painting	2000	no_subtitles_found
movies-32M	3561	Stacy's Knights	1982	no_subtitles_found
movies-32M	3611	Saludos Amigos	1943	no_subtitles_found
movies-32M	3881	Phish: Bittersweet Motel	2000	no_subtitles_found
movies-32M	3961	Ghoulies	1985	no_subtitles_found
movies-32M	4208	Unmade Beds	1997	no_subtitles_found
movies-32M	4216	Longtime Companion	1990	no_subtitles_found
movies-32M	4272	Tuvalu	1999	no_subtitles_found
movies-32M	4295	Backtrack (Catchfire)	1990	no_subtitles_found
movies-32M	4315	Gabriela	2001	no_subtitles_found
movies-32M	4331	Semi-Tough	1978	no_subtitles_found
movies-32M	4358	Macabre	1958	no_subtitles_found
movies-32M	4385	Pandaemonium	2000	no_subtitles_found
movies-32M	4694	Left Luggage	1998	no_subtitles_found
movies-32M	4708	Marat/Sade	1966	no_subtitles_found
movies-32M	4742	Punks	2000	no_subtitles_found
movies-32M	4793	Montenegro	1981	no_subtitles_found
movies-32M	4820	Won't Anybody Listen?	2000	no_subtitles_found
movies-32M	4864	Titanica	1992	no_subtitles_found
movies-32M	4872	Intimacy	2000	no_subtitles_found
movies-32M	5034	Truly, Madly, Deeply	1991	no_subtitles_found
movies-32M	5046	Impostor	2002	no_subtitles_found
movies-32M	5104	Cows (Vacas)	1991	no_subtitles_found
movies-32M	5133	Maryam	2000	no_subtitles_found
movies-32M	5137	Scratch	2001	no_subtitles_found
movies-32M	5176	Luminarias	2000	no_subtitles_found
movies-32M	5252	Teheran 43: Spy Ring (a.k.a. Assassination Attempt) (Tegeran-43)	1980	no_subtitles_found
movies-32M	5416	Cherish	2002	no_subtitles_found
movies-32M	5485	Tadpole	2002	no_subtitles_found
movies-32M	5566	Heartbreak Hospital	2002	no_subtitles_found
movies-32M	5681	Fidel	2001	no_subtitles_found
movies-32M	5684	Naqoyqatsi	2002	no_subtitles_found
movies-32M	5688	Tully	2000	no_subtitles_found
movies-32M	5805	Besotted	2001	no_subtitles_found
movies-32M	5828	Blackrock	1997	no_subtitles_found
movies-32M	5865	Tattoo	1981	no_subtitles_found
movies-32M	5907	Medea	1970	no_subtitles_found
movies-32M	6076	Enigma	1983	no_subtitles_found
movies-32M	6103	Monsignor	1982	no_subtitles_found
movies-32M	6145	Venom	1982	no_subtitles_found
movies-32M	6223	Spun	2001	no_subtitles_found
movies-32M	6269	Stevie	2002	no_subtitles_found
movies-32M	6344	101 Reykjavik (101 Reykjavik)	2000	no_subtitles_found
movies-32M	6368	Cinemania	2002	no_subtitles_found
movies-32M	6375	Gigantic (A Tale of Two Johns)	2002	no_subtitles_found
movies-32M	6397	Bizarre, Bizarre (Drole de drame ou L'etrange aventure de Docteur Molyneux)	1937	no_subtitles_found
movies-32M	6402	Siam Sunset	1999	no_subtitles_found
movies-32M	6465	Jubilee	1977	no_subtitles_found
movies-32M	6496	Ecstasy (Extasis)	1996	no_subtitles_found
movies-32M	6606	Purpose	2002	no_subtitles_found
movies-32M	6627	Changing Habits	1997	no_subtitles_found
movies-32M	6698	Nola	2002	no_subtitles_found
movies-32M	6717	Enlightenment Guaranteed (Erleuchtung Garantiert)	2000	no_subtitles_found
movies-32M	6861	Charlotte Sometimes	2002	no_subtitles_found
movies-32M	6869	Bus 174 (Onibus 174)	2002	no_subtitles_found
movies-32M	6875	Dopamine	2003	no_subtitles_found
movies-32M	6910	Kronos (a.k.a. Captain Kronos: Vampire Hunter)	1973	no_subtitles_found
movies-32M	6930	Girlhood	2003	no_subtitles_found
movies-32M	6983	Jane Eyre	1944	no_subtitles_found
movies-32M	7024	Salo, or The 120 Days of Sodom (Salo o le 120 giornate di Sodoma)	1976	no_subtitles_found
movies-32M	7223	D.O.A.	1950	no_subtitles_found
movies-32M	7288	Foolish Wives	1922	no_subtitles_found
movies-32M	7452	Mickey	2003	no_subtitles_found
movies-32M	7648	Wildflowers	1999	no_subtitles_found
movies-32M	7781	Twister	1990	no_subtitles_found
movies-32M	7879	Notorious C.H.O.	2002	no_subtitles_found
movies-32M	7979	Monterey Pop	1968	no_subtitles_found
movies-32M	8038	Manslaughter	1922	no_subtitles_found
movies-32M	8198	The 1000 Eyes of Dr. Mabuse (Die 1000 Augen des Dr. Mabuse)	1960	no_subtitles_found
movies-32M	8235	Safety Last!	1923	no_subtitles_found
movies-32M	8255	Chaos (Kaosu)	1999	no_subtitles_found
movies-32M	8290	Mitchell	1975	no_subtitles_found
movies-32M	8359	Skokie	1981	no_subtitles_found
movies-32M	8465	Johnny Eager	1942	no_subtitles_found
movies-32M	8575	Happenstance (Le Battement d'ailes du papillon)	2001	no_subtitles_found
movies-32M	8609	Our Hospitality	1923	no_subtitles_found
movies-32M	8707	Grief	1993	no_subtitles_found
movies-32M	8751	Gun Crazy (a.k.a. Deadly Is the Female)	1949	no_subtitles_found
movies-32M	8837	Triggermen	2002	no_subtitles_found
movies-32M	8846	Highwaymen	2003	no_subtitles_found
movies-32M	8863	Evergreen	2004	no_subtitles_found
movies-32M	8922	Epidemic	1988	no_subtitles_found
movies-32M	8996	Stateside	2004	no_subtitles_found
movies-32M	25747	Why Worry?	1923	no_subtitles_found
movies-32M	25760	Old San Francisco	1927	no_subtitles_found
movies-32M	25768	Sadie Thompson	1928	no_subtitles_found
movies-32M	26150	Andrei Rublev (Andrey Rublyov)	1969	no_subtitles_found
movies-32M	26221	Dirty Dingus Magee	1970	no_subtitles_found
movies-32M	26277	Slither	1973	no_subtitles_found
movies-32M	26280	Traffic (Trafic)	1971	no_subtitles_found
movies-32M	26303	Sisters	1973	no_subtitles_found
movies-32M	26369	Maitresse (Mistress)	1975	no_subtitles_found
movies-32M	26494	Suburbia	1984	no_subtitles_found
movies-32M	26610	Weeds	1987	no_subtitles_found
movies-32M	26850	71 Fragments of a Chronology of Chance (71 Fragmente einer Chronologie des Zufalls)	1994	no_subtitles_found
movies-32M	26880	Staggered	1994	no_subtitles_found
movies-32M	26933	Fetishes	1996	no_subtitles_found
movies-32M	27031	Wavelength	1967	no_subtitles_found
movies-32M	27081	Claire Dolan	1998	no_subtitles_found
movies-32M	27152	Pitka kuuma kesa	1999	no_subtitles_found
movies-32M	27304	Female Prisoner #701: Scorpion (Joshuu 701-go: Sasori)	1972	no_subtitles_found
movies-32M	27305	Female Convict Scorpion: Jailhouse 41 (Joshuu sasori: Dai-41 zakkyo-bo)	1972	no_subtitles_found
movies-32M	27447	Southern Comfort	2001	no_subtitles_found
movies-32M	27484	Milwaukee, Minnesota	2003	no_subtitles_found
movies-32M	27509	Carolina	2005	no_subtitles_found
movies-32M	27518	D.C.H. (Dil Chahta Hai)	2001	no_subtitles_found
movies-32M	27777	GhostWatcher	2002	no_subtitles_found
movies-32M	27829	Slasher	2004	no_subtitles_found
movies-32M	27919	Fahrenhype 9/11	2004	no_subtitles_found
movies-32M	31502	Salem's Lot	1979	no_subtitles_found
movies-32M	32392	800 Bullets (800 Balas)	2002	no_subtitles_found
movies-32M	32968	Guelwaar	1993	no_subtitles_found
movies-32M	33247	Torments (El) (This Strange Passion)	1953	no_subtitles_found
movies-32M	33397	300 Miles to Heaven (300 Mil do Nieba)	1989	no_subtitles_found
movies-32M	33608	December 7th	1943	no_subtitles_found
movies-32M	33921	Retrogade	2004	no_subtitles_found
movies-32M	33940	Rabbit Test	1978	no_subtitles_found
movies-32M	33970	Equinox	1992	no_subtitles_found
movies-32M	35681	Koti-ikava	2005	no_subtitles_found
movies-32M	35853	Blackout (Contraband)	1940	no_subtitles_found
movies-32M	37846	Daltry Calhoun	2005	no_subtitles_found
movies-32M	39048	Fjorton suger	2004	no_subtitles_found
movies-32M	39244	Leila	1996	no_subtitles_found
movies-32M	39394	Dandelion	2004	no_subtitles_found
movies-32M	40291	Siblings	2004	no_subtitles_found
movies-32M	41402	Lorna	1964	no_subtitles_found
movies-32M	42636	Superproduction (Superprodukcja)	2003	no_subtitles_found
movies-32M	42718	District 13 (Banlieue 13)	2004	no_subtitles_found
movies-32M	43828	Sabah	2005	no_subtitles_found
movies-32M	43967	Bongwater	1997	no_subtitles_found
movies-32M	44719	Brainstorm	2001	no_subtitles_found
movies-32M	45172	23 (23 - Nichts ist so wie es scheint)	1998	no_subtitles_found
movies-32M	46525	Spite Marriage	1929	no_subtitles_found
movies-32M	47129	Warning Shadows (Schatten - Eine nachtliche Halluzination)	1923	no_subtitles_found
movies-32M	47131	Leaves from Satan's Book (Blade af Satans bog)	1921	no_subtitles_found
movies-32M	47501	Tol'able David	1921	no_subtitles_found
movies-32M	47634	36 Quai des Orfevres (Department 36)	2004	no_subtitles_found
movies-32M	47808	Mutual Appreciation	2005	no_subtitles_found
movies-32M	48299	Piccadilly	1929	no_subtitles_found
movies-32M	48374	Father Sergius (Otets Sergiy)	1917	no_subtitles_found
movies-32M	48673	Kummelin jackpot	2006	no_subtitles_found
movies-32M	48972	Lunacy (Sileni)	2006	no_subtitles_found
movies-32M	49263	Fuck	2005	no_subtitles_found
movies-32M	49389	The Great Train Robbery	1903	no_subtitles_found
movies-32M	49518	Moog	2004	no_subtitles_found
movies-32M	49668	Girl Shy	1924	no_subtitles_found
movies-32M	51019	Fifty-Fifty (a.k.a. Schizo) (Shiza)	2004	no_subtitles_found
movies-32M	51246	Salvatore Giuliano	1964	no_subtitles_found
movies-32M	52804	Flannel Pajamas	2006	no_subtitles_found
movies-32M	53127	Bug	2007	no_subtitles_found
movies-32M	53827	Sybil	1976	no_subtitles_found
movies-32M	53853	Within Our Gates	1920	no_subtitles_found
movies-32M	53963	Clubland (a.k.a. Introducing the Dwights)	2007	no_subtitles_found
movies-32M	54270	Skinwalkers	2007	no_subtitles_found
movies-32M	55061	Electroma	2006	no_subtitles_found
movies-32M	55549	Manufacturing Dissent	2007	no_subtitles_found
movies-32M	57482	Just Pals	1920	no_subtitles_found
movies-32M	59669	Following Sean	2005	no_subtitles_found
movies-32M	59844	Honor Among Thieves (Adieu l'ami) (Farewell, Friend)	1968	no_subtitles_found
movies-32M	60405	Ganes	2007	no_subtitles_found
movies-32M	60450	Summer of '04 (Sommer '04)	2006	no_subtitles_found
movies-32M	60887	Blindsight	2006	no_subtitles_found
movies-32M	61215	13 Beloved (13 game sayawng)	2006	no_subtitles_found
movies-32M	61289	Sukiyaki Western Django	2008	no_subtitles_found
movies-32M	61567	Kummeli Alivuokralainen	2008	no_subtitles_found
movies-32M	61646	DarkBlueAlmostBlack (Azuloscurocasinegro)	2006	no_subtitles_found
movies-32M	63237	Happily Ever After	1993	no_subtitles_found
movies-32M	63239	Cinderella	1997	no_subtitles_found
movies-32M	64167	Dinotopia	2002	no_subtitles_found
movies-32M	64365	Malaya	1949	no_subtitles_found
movies-32M	64897	Mr. Wu	1927	no_subtitles_found
movies-32M	65359	Earthsea (Legend of Earthsea)	2004	no_subtitles_found
movies-32M	65435	Open Season 2	2008	no_subtitles_found
movies-32M	65633	Fuel	2008	no_subtitles_found
movies-32M	66246	Numbskull Emptybrook (Uuno Turhapuro)	1973	no_subtitles_found
movies-32M	66295	33 Scenes from Life (33 sceny z zycia)	2008	no_subtitles_found
movies-32M	66365	Trancers	1985	no_subtitles_found
movies-32M	66544	Nuremberg	2000	no_subtitles_found
movies-32M	67009	Frontrunners	2008	no_subtitles_found
movies-32M	67702	Private Lives	1931	no_subtitles_found
movies-32M	67850	Fitna	2008	no_subtitles_found
movies-32M	67869	Flash Gordon	1936	no_subtitles_found
movies-32M	67894	Pekka ja Patka lumimiehen jaljilla	1954	no_subtitles_found
movies-32M	68177	Lawless Range	1935	no_subtitles_found
movies-32M	68489	Taynna Tarmoa	2009	no_subtitles_found
movies-32M	68662	Folks!	1992	no_subtitles_found
movies-32M	69201	Zakochani	2000	no_subtitles_found
movies-32M	69233	Blind Husbands	1919	no_subtitles_found
movies-32M	69475	Dutchman	1967	no_subtitles_found
movies-32M	69518	Pornorama	2007	no_subtitles_found
movies-32M	69849	Roots	1977	no_subtitles_found
movies-32M	70148	Paradise Canyon	1935	no_subtitles_found
movies-32M	70173	Afterburn	1992	download_failed: Subtitle download request failed: 406
{"requests":5001,"remaining":-1,"message":"5000-eko baimendutako azpitituluak 24 orduz deskargatu dituzu.Your quota will be renewed in 02 hours and 11 minutes (2026-06-01 23:59:59 UTC) ts=1780350493 ","reset_time":"02 hours and 11 minutes","reset_time_utc":"2026-06-01T23:59:59.000Z","uk":"app_cdl_154237","uid":2,"ts":1780350493}
movies-32M	70181	Rainbow Valley	1935	no_subtitles_found
movies-32M	70186	Heimat - A Chronicle of Germany (Heimat - Eine deutsche Chronik)	1984	no_subtitles_found
movies-32M	70235	Dallas 362	2003	no_subtitles_found
movies-32M	70237	Moonshot	2009	no_subtitles_found
movies-32M	70500	Okie Noodling	2001	no_subtitles_found
movies-32M	70511	Randy Rides Alone	1934	no_subtitles_found
movies-32M	70656	Harvard Beats Yale 29-29	2008	no_subtitles_found
movies-32M	70728	Bronson	2009	no_subtitles_found
movies-32M	70833	Queen Kelly	1929	no_subtitles_found
movies-32M	70958	Paris 36 (Faubourg 36)	2008	no_subtitles_found
movies-32M	70992	Cargo 200 (Gruz 200)	2007	no_subtitles_found
movies-32M	71007	Meteor	2009	no_subtitles_found
movies-32M	71065	Cosmonaut (Cosmonauta)	2009	no_subtitles_found
movies-32M	71237	Hillsborough	1996	no_subtitles_found
movies-32M	71675	Hiroshima	2009	no_subtitles_found
movies-32M	71973	Outsiders (Ceddo)	1977	no_subtitles_found
movies-32M	71978	Mother (Mat)	1926	no_subtitles_found
movies-32M	72039	35 Shots of Rum (35 rhums)	2008	no_subtitles_found
movies-32M	72104	Balance	1989	no_subtitles_found
movies-32M	72290	Arsenal	1928	no_subtitles_found
movies-32M	72315	Hell's Hinges	1916	no_subtitles_found
movies-32M	72583	Brightness (Yeelen)	1987	no_subtitles_found
movies-32M	72626	Billy Blazes, Esq.	1919	no_subtitles_found
movies-32M	72647	Zorn's Lemma	1970	no_subtitles_found
movies-32M	72674	True Heart Susie	1919	no_subtitles_found
movies-32M	72726	Morphia (Morfiy)	2008	no_subtitles_found
movies-32M	72915	Duo (Pas de deux)	1968	no_subtitles_found
movies-32M	72921	Snow White	1916	no_subtitles_found
movies-32M	72931	Tango	1981	no_subtitles_found
movies-32M	73049	Uncertainty	2009	no_subtitles_found
movies-32M	73064	In a Year with 13 Moons (In einem Jahr mit 13 Monden)	1978	no_subtitles_found
movies-32M	73141	Moana	1926	no_subtitles_found
movies-32M	73165	Pronto	1997	no_subtitles_found
movies-32M	73268	Daybreakers	2010	no_subtitles_found
movies-32M	73475	Semper Fi	2001	no_subtitles_found
movies-32M	73708	Macheads	2009	no_subtitles_found
movies-32M	74668	District 13: Ultimatum (Banlieue 13 - Ultimatum)	2009	no_subtitles_found
movies-32M	74944	Brooklyn's Finest	2010	no_subtitles_found
movies-32M	75402	Rosvo Roope	1949	no_subtitles_found
movies-32M	76066	Cookers	2001	no_subtitles_found
movies-32M	76082	Blackwoods	2002	no_subtitles_found
movies-32M	76132	B.N.B. (Bunty Aur Babli)	2005	no_subtitles_found
movies-32M	76149	Ollin oppivuodet	1920	no_subtitles_found
movies-32M	76680	Camille	2007	no_subtitles_found
movies-32M	76758	Tillie's Punctured Romance	1914	no_subtitles_found
movies-32M	77883	Heartbeats (Kohtaamisia)	2009	no_subtitles_found
movies-32M	78000	Deficit (Deficit)	2007	no_subtitles_found
movies-32M	78483	Gigot	1962	no_subtitles_found
movies-32M	78488	Dhoondte Reh Jaoge	2009	no_subtitles_found
movies-32M	78905	Whirlpool	1949	no_subtitles_found
movies-32M	78941	Destricted	2006	no_subtitles_found
movies-32M	79136	Thirst	2008	no_subtitles_found
movies-32M	79191	Roadracers	1994	no_subtitles_found
movies-32M	79278	My Boy	1921	no_subtitles_found
movies-32M	79285	Mammy	1930	no_subtitles_found
movies-32M	79575	Solstice	1994	no_subtitles_found
movies-32M	79642	Dreamboat	1952	no_subtitles_found
movies-32M	79692	Bjarnfrearson	2009	no_subtitles_found
movies-32M	79794	Crossworlds	1997	no_subtitles_found
movies-32M	79996	Giallo	2009	no_subtitles_found
movies-32M	80052	Muggers	2000	no_subtitles_found
movies-32M	80243	Bananaz	2008	no_subtitles_found
movies-32M	80285	Conquest	1937	no_subtitles_found
movies-32M	80313	Oh, Susanna!	1936	no_subtitles_found
movies-32M	80491	Kapo	1959	no_subtitles_found
movies-32M	80695	Lbs.	2004	no_subtitles_found
movies-32M	80746	Remote Control	1930	no_subtitles_found
movies-32M	80768	Patsy	2008	no_subtitles_found
movies-32M	80781	Vampitheatre	2009	no_subtitles_found
movies-32M	80792	Southbounders	2005	no_subtitles_found
movies-32M	80799	West Point	1927	no_subtitles_found
movies-32M	80980	Countdown	1968	no_subtitles_found
movies-32M	81104	Budrus	2009	no_subtitles_found
movies-32M	81238	Zeisters (Fat Guy Goes Nutzoid)	1986	no_subtitles_found
movies-32M	81349	Provocateur (Prowokator)	1995	no_subtitles_found
movies-32M	81441	Mita meista tuli	2009	no_subtitles_found
movies-32M	81617	Tribute	1980	no_subtitles_found
movies-32M	81959	Dossier 51 (Le Dossier 51)	1978	no_subtitles_found
movies-32M	82007	Ingeborg Holm	1913	no_subtitles_found
movies-32M	82313	Nightfall	1957	no_subtitles_found
movies-32M	82337	Four Heads Are Better Than One (Un homme de tete)	1898	no_subtitles_found
movies-32M	82358	Caribe	2004	no_subtitles_found
movies-32M	82452	Frozen	2007	no_subtitles_found
movies-32M	82491	Cooperstown	1993	no_subtitles_found
movies-32M	82715	Morsian yllattaa	1941	no_subtitles_found
movies-32M	82848	One Week	1920	no_subtitles_found
movies-32M	82857	Sweetgrass	2009	no_subtitles_found
movies-32M	83049	Toothless	1997	no_subtitles_found
movies-32M	83184	Breathless (Ddongpari)	2009	no_subtitles_found
movies-32M	83260	Hardcover	2008	no_subtitles_found
movies-32M	83279	Samoure	2005	no_subtitles_found
movies-32M	83411	Cops	1922	no_subtitles_found
movies-32M	83662	Spring Fever	1927	no_subtitles_found
movies-32M	83763	My Wife's Relations	1922	no_subtitles_found
movies-32M	83833	Street Angel	1928	no_subtitles_found
movies-32M	83962	Daydreams	1922	no_subtitles_found
movies-32M	84114	S21: The Khmer Rouge Death Machine (S-21, la machine de mort Khmere rouge)	2003	no_subtitles_found
movies-32M	84164	Brute (Bandyta)	1998	no_subtitles_found
movies-32M	84504	Raja	2003	no_subtitles_found
movies-32M	84641	Skippy	1931	no_subtitles_found
movies-32M	84890	Incantato (Il cuore altrove)	2003	no_subtitles_found
movies-32M	84974	Holokaustin varit	2010	no_subtitles_found
movies-32M	84996	Presumed Guilty (Presunto culpable)	2008	no_subtitles_found
movies-32M	85177	$ (Dollars)	1971	no_subtitles_found
movies-32M	85273	Crude	2009	no_subtitles_found
movies-32M	85503	Streetballers	2009	no_subtitles_found
movies-32M	85576	Alibi	1929	no_subtitles_found
movies-32M	85689	Otaku	1994	no_subtitles_found
movies-32M	85966	Eila	2003	no_subtitles_found
movies-32M	86085	Berta's Motives (Los motivos de Berta: Fantasia de Pubertad)	1985	no_subtitles_found
movies-32M	86343	Spooner	2009	no_subtitles_found
movies-32M	86487	Mildred Pierce	2011	no_subtitles_found
movies-32M	86657	Babylon	1981	no_subtitles_found
movies-32M	86839	PoliWood	2009	no_subtitles_found
movies-32M	86985	Stonewall Uprising	2010	no_subtitles_found
movies-32M	86988	Ballou	2008	no_subtitles_found
movies-32M	87105	Open Season 3	2010	no_subtitles_found
movies-32M	87296	Captive (Cautiva)	2004	no_subtitles_found
movies-32M	87325	Delbaran	2001	no_subtitles_found
movies-32M	87334	Chain Camera	2001	no_subtitles_found
movies-32M	87425	Vaapeli Kormy - Taisteluni	1994	no_subtitles_found
movies-32M	87644	Armless	2010	no_subtitles_found
movies-32M	87745	Lazybones	1925	no_subtitles_found
movies-32M	88053	Hangtime - Kein leichtes Spiel	2009	no_subtitles_found
movies-32M	88071	Ballerina (La mort du cygne)	1937	no_subtitles_found
movies-32M	88110	Monogamy	2010	no_subtitles_found
movies-32M	88276	Dry Summer (Susuz yaz) (Reflections)	1964	no_subtitles_found
movies-32M	88417	Exposed	1983	no_subtitles_found
movies-32M	88452	Last Stop 174 (Ultima Parada 174)	2008	no_subtitles_found
movies-32M	88674	Edison Kinetoscopic Record of a Sneeze	1894	no_subtitles_found
movies-32M	88764	Ponterosa	2001	no_subtitles_found
movies-32M	88855	Szuler	1994	no_subtitles_found
movies-32M	88897	Ghetto Physics	2010	no_subtitles_found
movies-32M	89215	Strongman	2009	no_subtitles_found
movies-32M	89323	Richard III	1912	no_subtitles_found
movies-32M	89373	Ceremony	2011	no_subtitles_found
movies-32M	89478	Vigilante	1983	no_subtitles_found
movies-32M	89516	Felicity	1980	no_subtitles_found
movies-32M	89584	Skeletons	2010	no_subtitles_found
movies-32M	89668	Pathetic Fallacy (Ajantrik)	1958	no_subtitles_found
movies-32M	89778	Littlerock	2010	no_subtitles_found
movies-32M	89910	Housewarming (Travaux, on sait quand ca commence...)	2005	no_subtitles_found
movies-32M	89945	BlinkyTM	2011	no_subtitles_found
movies-32M	89977	Don't Change Your Husband	1919	download_failed: HTTPSConnectionPool(host='api.opensubtitles.com', port=443): Read timed out. (read timeout=30)
movies-32M	90245	Antonio Gaudi	1985	no_subtitles_found
movies-32M	90292	Sokkotanssi	1999	no_subtitles_found
movies-32M	90497	Bertsolari	2011	no_subtitles_found
movies-32M	90543	11 x 14	1977	no_subtitles_found
movies-32M	90622	Campus Radio	2011	no_subtitles_found
movies-32M	90690	Colorado Avenue	2007	no_subtitles_found
movies-32M	90775	Flicker	2009	no_subtitles_found
movies-32M	91026	Fright	1972	no_subtitles_found
movies-32M	91044	LennoNYC	2010	no_subtitles_found
movies-32M	91187	Millhaven	2010	no_subtitles_found
movies-32M	91208	Silvestre	1982	no_subtitles_found
movies-32M	91213	Beijing Taxi	2010	no_subtitles_found
movies-32M	91253	Stage Struck	1936	no_subtitles_found
movies-32M	91304	Xtro	1983	no_subtitles_found
movies-32M	91391	HealtH	1980	no_subtitles_found
movies-32M	91494	What Price Glory	1926	no_subtitles_found
movies-32M	91503	Blind Justice (Haevnens nat)	1916	no_subtitles_found
movies-32M	91533	Dacii	1967	no_subtitles_found
movies-32M	91612	Backstage	2005	no_subtitles_found
movies-32M	91683	Metrobranding	2010	no_subtitles_found
movies-32M	91755	Reagan	2011	no_subtitles_found
movies-32M	91782	Territories	2010	no_subtitles_found
movies-32M	91854	Mantrap	1926	no_subtitles_found
movies-32M	91937	Loosies	2012	no_subtitles_found
movies-32M	92128	Disorder	2009	no_subtitles_found
movies-32M	92132	Regeneration	1915	no_subtitles_found
movies-32M	92167	Praise	1998	no_subtitles_found
movies-32M	92257	Vlad	2003	no_subtitles_found
movies-32M	92639	Casual Relations	1973	no_subtitles_found
movies-32M	92648	BookWars	2000	no_subtitles_found
movies-32M	92652	Windfall	2010	no_subtitles_found
movies-32M	92691	Hoodoo Ann	1916	no_subtitles_found
movies-32M	92793	Rusalochka (The Little Mermaid)	1976	no_subtitles_found
movies-32M	92836	Knuckle	2011	no_subtitles_found
movies-32M	93014	Perifery (Harma)	2012	no_subtitles_found
movies-32M	93063	Khodorkovsky	2011	no_subtitles_found
